"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"USON_ADMINISTRATIVE_FAX_FOLDER",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3894","","","11/17/2014 10:47:54 AM","5/19/2021 4:19:10 PM","CN=USON_ADMINISTRATIVE_FAX_FOLDER,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON_ADMINISTRATIVE_FAX_FOLDER"
"SMSMSE Viewers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11724","","SMSMSE Viewers Group","3/1/2021 1:38:57 PM","5/19/2021 4:19:17 PM","CN=SMSMSE Viewers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/SMSMSE Viewers"
"NVCS MA",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5217","","","11/2/2016 11:27:45 AM","7/28/2021 8:42:11 AM","CN=NVCS MA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/NVCS MA"
"USON IT ADMIN","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4122","","","8/30/2013 8:51:43 AM","5/19/2021 4:19:26 PM","CN=USON IT ADMIN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON IT ADMIN"
"CitrixAdminGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8968","","","4/2/2021 10:37:30 AM","5/21/2021 9:04:43 AM","CN=CitrixAdminGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CitrixAdminGG"
"SMSMSE Admins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11723","","SMSMSE Admins Group","3/1/2021 1:38:56 PM","5/19/2021 4:19:26 PM","CN=SMSMSE Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/SMSMSE Admins"
"USON DOCTORS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2070","","","7/27/2011 1:40:14 PM","9/22/2021 11:16:22 AM","CN=USON DOCTORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON DOCTORS"
"DamerWare Support",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4239","","","5/8/2014 3:13:16 PM","5/19/2021 4:19:17 PM","CN=DamerWare Support,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/DamerWare Support"
"Pre-Windows 2000 Compatible Access",,"Security","DomainLocal","","S-1-5-32-554","","A backward compatibility group which allows read access on all users and groups in the domain","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Pre-Windows 2000 Compatible Access"
"Configuration Manager Servers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11733","","","3/2/2021 7:15:10 AM","5/19/2021 4:19:17 PM","CN=Configuration Manager Servers,OU=Configuration Manager,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SERVERS/Configuration Manager/Configuration Manager Servers"
"CitrixAdminDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8967","","","4/2/2021 10:37:03 AM","5/19/2021 4:19:17 PM","CN=CitrixAdminDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CitrixAdminDL"
"MTS_USON_PROD",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4230","","Users that have access to USON prod","2/25/2014 3:30:35 PM","9/27/2021 3:21:55 PM","CN=MTS_USON_PROD,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_PROD"
"CMAdminsGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11731","","","3/2/2021 7:13:22 AM","5/19/2021 4:19:26 PM","CN=CMAdminsGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CMAdminsGG"
"Exchange Domain Servers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-1112","","Microsoft Exchange Domain Servers group -- DO NOT move or rename","7/11/2011 2:59:16 PM","5/19/2021 4:19:03 PM","CN=Exchange Domain Servers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Exchange Domain Servers"
"CitrixHelpDeskGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8970","","","4/2/2021 10:38:45 AM","5/19/2021 4:19:17 PM","CN=CitrixHelpDeskGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CitrixHelpDeskGG"
"OMS STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4615","","","4/22/2014 2:55:09 PM","9/27/2021 3:21:55 PM","CN=OMS STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMS STAFF"
"USON CONFIGURATION MANAGER REMOTE USERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11751","","","3/11/2021 7:54:18 AM","5/19/2021 4:19:17 PM","CN=USON CONFIGURATION MANAGER REMOTE USERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON CONFIGURATION MANAGER REMOTE USERS"
"Print Operators","1","Security","DomainLocal","","S-1-5-32-550","","Members can administer domain printers","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Print Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Print Operators"
"HIM Folder Access",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8972","","","4/6/2021 9:23:57 AM","9/8/2021 12:29:43 PM","CN=HIM Folder Access,OU=MEDICAL RECORDS,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/MEDICAL RECORDS/HIM Folder Access"
"OMP DOCTORS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4613","","","4/22/2014 2:16:43 PM","5/19/2021 4:19:08 PM","CN=OMP DOCTORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMP DOCTORS"
"PCADMINS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4263","","","4/6/2015 12:30:35 PM","5/19/2021 4:19:17 PM","CN=PCADMINS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PCADMINS"
"Backup Operators","1","Security","DomainLocal","","S-1-5-32-551","","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Backup Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Backup Operators"
"BillingNGGroup-1-827579474",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-8992","","","4/26/2021 3:32:39 PM","9/27/2021 3:26:09 PM","CN=BillingNGGroup,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/BillingNGGroup"
"USON RADIATION ONCOLOGY",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2077","","","7/27/2011 1:43:23 PM","5/19/2021 4:19:06 PM","CN=USON RADIATION ONCOLOGY,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON RADIATION ONCOLOGY"
"Account Operators","1","Security","DomainLocal","","S-1-5-32-548","","Members can administer domain user and group accounts","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Account Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Account Operators"
"CMAdminsDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8959","","","3/18/2021 10:57:03 AM","5/19/2021 4:19:17 PM","CN=CMAdminsDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CMAdminsDL"
"RDS Remote Access Servers",,"Security","DomainLocal","","S-1-5-32-575","","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","9/7/2019 9:14:42 PM","5/19/2021 4:18:52 PM","CN=RDS Remote Access Servers,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/RDS Remote Access Servers"
"Billing_Questions-124454798",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-11794","","","4/27/2021 7:30:46 AM","10/4/2021 9:10:52 AM","CN=Billing_Questions,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Billing_Questions"
"CMTier1DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8960","","","3/18/2021 10:59:04 AM","5/19/2021 4:19:17 PM","CN=CMTier1DL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CMTier1DL"
"USON CHART CHECK",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2105","","","8/9/2011 12:15:03 PM","5/19/2021 4:19:12 PM","CN=USON CHART CHECK,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON CHART CHECK"
"Schema Admins","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-518","","Designated administrators of the schema","7/11/2011 12:33:52 PM","5/19/2021 4:18:52 PM","CN=Schema Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Schema Admins"
"CMTier1GG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8961","","","3/18/2021 10:59:21 AM","5/19/2021 4:19:17 PM","CN=CMTier1GG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CMTier1GG"
"OCLA_AR-1-1698232321",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-8994","","","4/27/2021 7:47:00 AM","10/4/2021 9:46:20 AM","CN=OCLA_AR,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCLA_AR"
"MTS_USON_DEVL",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4618","","Users that have acces to USON Dev","5/14/2014 1:11:48 PM","7/9/2021 3:18:10 PM","CN=MTS_USON_DEVL,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_DEVL"
"Replicator","1","Security","DomainLocal","","S-1-5-32-552","","Supports file replication in a domain","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Replicator,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Replicator"
"ORTHO_AR-1-1781700440",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-11796","","","4/27/2021 9:00:45 AM","9/27/2021 3:27:36 PM","CN=ORTHO_AR,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/ORTHO_AR"
"ORTHO MA",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5219","","","11/2/2016 11:38:25 AM","9/23/2021 11:49:19 AM","CN=ORTHO MA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/ORTHO MA"
"Server Operators","1","Security","DomainLocal","","S-1-5-32-549","","Members can administer domain servers","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Server Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Server Operators"
"Read-only Domain Controllers","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-521","","Members of this group are Read-Only Domain Controllers in the domain","3/9/2013 7:44:47 PM","5/19/2021 4:18:52 PM","CN=Read-only Domain Controllers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Read-only Domain Controllers"
"CIOX-ROI-11044875357",,"Distribution","Universal","Nannette Rodriguez","S-1-5-21-2571279217-2041782082-3149958405-11798","","","4/30/2021 5:11:55 PM","9/8/2021 1:22:53 PM","CN=CIOX-ROI,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/CIOX-ROI"
"NVCSAuthBenVM",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-5206","","","10/19/2016 1:34:28 PM","9/17/2021 9:56:31 AM","CN=NVCSAuthBenVM,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/NVCSAuthBenVM"
"Domain Controllers","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-516","","All domain controllers in the domain","7/11/2011 12:33:52 PM","5/19/2021 4:18:52 PM","CN=Domain Controllers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Domain Controllers"
"SPEVscan",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9001","","","5/11/2021 9:06:42 AM","5/19/2021 4:19:25 PM","CN=SPEVscan,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/SPEVscan"
"IPAMUG",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-6600","","","5/17/2019 2:21:59 PM","5/19/2021 4:19:10 PM","CN=IPAMUG,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/IPAMUG"
"OPTUM_DOCUMENTS_ADMIN_OPTUM",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3726","","","2/6/2014 2:19:55 PM","5/19/2021 4:19:06 PM","CN=OPTUM_DOCUMENTS_ADMIN_OPTUM,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OPTUM_DOCUMENTS_ADMIN_OPTUM"
"USON IT DELEGATED AUTH","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-8208","","","2/13/2020 2:47:47 PM","5/19/2021 4:19:15 PM","CN=USON IT DELEGATED AUTH,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON IT DELEGATED AUTH"
"OptumAnalyticsSupport",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11806","","","5/11/2021 2:33:26 PM","6/16/2021 4:31:55 PM","CN=OptumAnalyticsSupport,OU=Optum Analytics,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Optum Analytics/OptumAnalyticsSupport"
"ServiceAccounts","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3669","","Server Service Account","9/29/2013 10:49:01 AM","9/23/2021 7:12:21 AM","CN=ServiceAccounts,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/ServiceAccounts"
"USON HR",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3666","","HR Account","9/18/2013 3:47:59 PM","5/19/2021 4:19:03 PM","CN=USON HR,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON HR"
"HelpServicesGroup",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1000","","Group for the Help and Support Center","7/11/2011 12:29:37 PM","5/19/2021 4:19:01 PM","CN=HelpServicesGroup,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/HelpServicesGroup"
"CitrixHelpDeskDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11807","","","5/13/2021 8:42:20 AM","5/19/2021 4:19:26 PM","CN=CitrixHelpDeskDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CitrixHelpDeskDL"
"TelnetClients",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1002","","Members of this group have access to Telnet Server on this system.","7/11/2011 12:29:37 PM","5/19/2021 4:19:01 PM","CN=TelnetClients,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/TelnetClients"
"FSAdminAB",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11814","","Acronis FileSystem Backup Group","5/14/2021 7:33:14 AM","5/19/2021 4:19:26 PM","CN=FSAdminAB,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/FSAdminAB"
"DnsUpdateProxy",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-1106","","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","7/11/2011 12:34:32 PM","5/19/2021 4:19:01 PM","CN=DnsUpdateProxy,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/DnsUpdateProxy"
"USON SEND AS DONOTRESOND",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-9011","","","5/21/2021 3:26:50 PM","9/23/2021 1:39:24 PM","CN=USON SEND AS DONOTRESOND,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SEND AS DONOTRESOND"
"USON BBP STATEMENTS SHARE",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-2085","","","7/27/2011 2:07:44 PM","5/19/2021 4:19:03 PM","CN=USON BBP STATEMENTS SHARE,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON BBP STATEMENTS SHARE"
"ZabbixAlerts",,"Distribution","Global","","S-1-5-21-2571279217-2041782082-3149958405-12609","","","5/27/2021 12:14:44 PM","5/27/2021 12:16:30 PM","CN=ZabbixAlerts,OU=Groups,OU=InformationTechnology,OU=NV048 - MSO IT Office,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV048 - MSO IT Office/InformationTechnology/Groups/ZabbixAlerts"
"LibreNMSAlerts",,"Distribution","Global","","S-1-5-21-2571279217-2041782082-3149958405-12610","","","5/27/2021 12:15:00 PM","5/27/2021 12:17:14 PM","CN=LibreNMSAlerts,OU=Groups,OU=InformationTechnology,OU=NV048 - MSO IT Office,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV048 - MSO IT Office/InformationTechnology/Groups/LibreNMSAlerts"
"Zabbix Alerts-1-1085126420",,"Distribution","Universal","Wil Barker","S-1-5-21-2571279217-2041782082-3149958405-11823","","","5/27/2021 12:19:25 PM","5/27/2021 1:42:12 PM","CN=Zabbix Alerts,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Zabbix Alerts"
"USON SEND AS DONOTRESPOND-1-289768083",,"Security","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-13118","","","7/1/2021 10:28:15 AM","7/1/2021 10:42:10 AM","CN=USON SEND AS DONOTRESPOND,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SEND AS DONOTRESPOND"
"Tier 2-1324968545",,"Distribution","Universal","Dax Dabel","S-1-5-21-2571279217-2041782082-3149958405-13119","","","7/7/2021 9:27:31 AM","7/7/2021 9:53:49 AM","CN=Tier 2,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Tier 2"
"USON NO RESPONSE-1-803554845",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-13120","","","7/7/2021 9:39:00 AM","7/7/2021 11:53:49 AM","CN=USON NO RESPONSE,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/USON NO RESPONSE"
"OCCC Case Management-1-1199931972",,"Distribution","Universal","Norsiah Castellanos","S-1-5-21-2571279217-2041782082-3149958405-11843","","","7/12/2021 1:56:27 PM","9/23/2021 12:24:40 PM","CN=OCCC Case Management,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCCC Case Management"
"OCCC.pap@optummg.com-11895738997",,"Distribution","Universal","Norsiah Castellanos","S-1-5-21-2571279217-2041782082-3149958405-11844","","","7/13/2021 2:00:53 PM","7/14/2021 4:19:15 PM","CN=OCCC.pap@optummg.com,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCCC.pap@optummg.com"
"Send As Permissions",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-13123","","","7/13/2021 3:05:55 PM","7/13/2021 3:08:23 PM","CN=Send As Permissions,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Send As Permissions"
"OCCC New Patient Care Coordinators-1-169351654",,"Distribution","Universal","Norsiah Castellanos","S-1-5-21-2571279217-2041782082-3149958405-13129","","","8/2/2021 7:49:59 AM","9/15/2021 2:24:37 PM","CN=OCCC New Patient Care Coordinators,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCCC New Patient Care Coordinators"
"OCCC Social Work-1-1580816029",,"Distribution","Universal","Norsiah Castellanos","S-1-5-21-2571279217-2041782082-3149958405-13136","","","8/13/2021 8:50:56 AM","8/20/2021 1:39:50 PM","CN=OCCC Social Work,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCCC Social Work"
"NVCS STAFF DISTIBUTION",,"Distribution","Global","","S-1-5-21-2571279217-2041782082-3149958405-13139","","","8/20/2021 10:59:49 AM","8/20/2021 11:00:42 AM","CN=NVCS STAFF DISTIBUTION,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NVCS STAFF DISTIBUTION"
"Do Not Reply USON-11784645978",,"Distribution","Universal","Angela Carter","S-1-5-21-2571279217-2041782082-3149958405-11857","","","8/20/2021 12:56:50 PM","8/24/2021 11:43:46 AM","CN=Do Not Reply USON,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Do Not Reply USON"
"OCCC Case Management",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11859","","","8/24/2021 11:46:08 AM","9/23/2021 12:03:09 PM","CN=OCCC Case Management,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OCCC Case Management"
"OCCC New Patient Care Coordinators",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11860","","","8/24/2021 11:50:09 AM","8/24/2021 11:51:42 AM","CN=OCCC New Patient Care Coordinators,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OCCC New Patient Care Coordinators"
"OCCC PA-1-258479019",,"Distribution","Universal","Amy Hale","S-1-5-21-2571279217-2041782082-3149958405-13142","","","9/3/2021 8:00:59 AM","9/3/2021 11:22:56 AM","CN=OCCC PA,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OCCC PA"
"CitrixUsersDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-13153","","Used to provide Access to Citrix in Studio","9/16/2021 10:25:47 AM","9/24/2021 9:26:53 AM","CN=CitrixUsersDL,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/VIRTUAL/CITRIX/CitrixUsersDL"
"CitrixUsersGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-13154","","For Production Citrix Access","9/16/2021 10:26:04 AM","9/24/2021 9:28:00 AM","CN=CitrixUsersGG,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/VIRTUAL/CITRIX/CitrixUsersGG"
"CitrixFullVPNGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9066","","Used to provide Full VPN Access to Users","9/23/2021 7:45:39 AM","9/30/2021 9:42:30 AM","CN=CitrixFullVPNGG,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/VIRTUAL/CITRIX/CitrixFullVPNGG"
"CitrixFullVPNDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-9067","","Used to assign Full VPN access in Citrix Studio","9/23/2021 7:46:05 AM","9/24/2021 9:28:58 AM","CN=CitrixFullVPNDL,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/VIRTUAL/CITRIX/CitrixFullVPNDL"
"CitrixVendorMorganScientificDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-13175","","Used to add Morgan Scientific Users to Citrix Studio","9/24/2021 9:16:06 AM","9/24/2021 9:27:40 AM","CN=CitrixVendorMorganScientificDL,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/VIRTUAL/CITRIX/CitrixVendorMorganScientificDL"
